t;x;y;v;
0,000;−1,850E−2;0,292;
0,033;−1,850E−2;0,292;2,443E−2
0,067;−1,695E−2;0,292;7,282E−2
0,100;−1,379E−2;0,291;0,115
0,133;−9,399E−3;0,291;0,145
0,167;−4,226E−3;0,290;0,168
0,200;1,706E−3;0,289;0,204
0,233;9,143E−3;0,288;0,248
0,267;1,798E−2;0,286;0,291
0,300;2,822E−2;0,284;0,331
0,333;3,966E−2;0,282;0,363
0,367;5,195E−2;0,279;0,410
0,400;6,644E−2;0,277;0,464
0,433;8,226E−2;0,273;0,514
0,467;9,984E−2;0,269;0,568
0,500;0,119;0,264;0,623
0,533;0,140;0,258;0,695
0,567;0,163;0,250;0,771
0,600;0,188;0,241;0,849
0,633;0,216;0,229;0,932
0,667;0,245;0,216;1,024
0,700;0,278;0,201;1,122
0,733;0,314;0,186;1,213
0,767;0,354;0,174;1,296
0,800;0,397;0,163;1,324
0,833;0,441;0,159;1,329
0,867;0,486;0,162;1,321
0,900;0,529;0,170;1,285
0,933;0,569;0,181;1,226
0,967;0,607;0,193;1,151
1,000;0,642;0,205;1,079
1,033;0,675;0,216;1,007
1,067;0,707;0,224;0,964
1,100;0,738;0,231;0,913
1,133;0,767;0,233;0,879
1,167;0,796;0,234;0,882
1,200;0,825;0,233;0,891
1,233;0,855;0,231;0,911
1,267;0,886;0,226;0,959
1,300;0,918;0,220;1,005
1,333;0,951;0,211;1,057
1,367;0,986;0,200;1,142
1,400;1,023;0,187;1,227
1,433;1,063;0,173;1,319
1,467;1,107;0,161;1,358
1,500;1,152;0,155;1,381
1,533;1,199;0,155;1,395
1,567;1,245;0,160;1,369
1,600;1,290;0,166;1,354
1,633;1,334;0,175;1,314
1,667;1,376;0,179;
