t;x;y;v;
0,000;−1,954E−2;0,294;
0,033;−1,837E−2;0,294;6,290E−2
0,067;−1,553E−2;0,293;0,112
0,100;−1,115E−2;0,292;0,141
0,133;−6,256E−3;0,291;0,163
0,167;−3,803E−4;0,290;0,192
0,200;6,415E−3;0,289;0,239
0,233;1,538E−2;0,288;0,288
0,267;2,534E−2;0,286;0,318
0,300;3,622E−2;0,284;0,356
0,333;4,858E−2;0,281;0,406
0,367;6,267E−2;0,278;0,451
0,400;7,796E−2;0,275;0,499
0,433;9,514E−2;0,271;0,550
0,467;0,114;0,267;0,611
0,500;0,134;0,260;0,682
0,533;0,157;0,253;0,760
0,567;0,182;0,244;0,831
0,600;0,209;0,234;0,905
0,633;0,238;0,220;1,002
0,667;0,270;0,206;1,103
0,700;0,305;0,191;1,190
0,733;0,343;0,176;1,266
0,767;0,386;0,166;1,326
0,800;0,430;0,160;1,343
0,833;0,475;0,161;1,332
0,867;0,519;0,168;1,296
0,900;0,560;0,178;1,249
0,933;0,599;0,191;1,181
0,967;0,634;0,204;1,103
1,000;0,668;0,215;1,027
1,033;0,700;0,223;0,979
1,067;0,731;0,232;0,924
1,100;0,761;0,233;0,890
1,133;0,790;0,235;0,893
1,167;0,820;0,234;0,897
1,200;0,850;0,232;0,916
1,233;0,881;0,227;0,968
1,267;0,914;0,221;1,024
1,300;0,948;0,213;1,063
1,333;0,982;0,202;1,130
1,367;1,019;0,189;1,221
1,400;1,059;0,175;1,318
1,433;1,103;0,163;1,370
1,467;1,148;0,156;1,403
1,500;1,196;0,156;1,408
1,533;1,242;0,160;1,369
1,567;1,287;0,167;1,359
1,600;1,331;0,175;1,318
1,633;1,374;0,179;
