t;x;y;v;
0,000;−1,619E−2;0,292;
0,033;−2,083E−2;0,295;0,114
0,067;−2,323E−2;0,295;4,562E−2
0,100;−1,780E−2;0,295;0,161
0,133;−1,253E−2;0,294;0,167
0,167;−6,797E−3;0,293;0,194
0,200;2,247E−4;0,292;0,239
0,233;8,885E−3;0,291;0,279
0,267;1,860E−2;0,289;0,311
0,300;2,929E−2;0,287;0,357
0,333;4,191E−2;0,284;0,409
0,367;5,598E−2;0,281;0,445
0,400;7,090E−2;0,278;0,495
0,433;8,811E−2;0,274;0,560
0,467;0,107;0,269;0,620
0,500;0,128;0,263;0,679
0,533;0,150;0,256;0,752
0,567;0,175;0,247;0,828
0,600;0,202;0,236;0,896
0,633;0,230;0,223;0,991
0,667;0,262;0,209;1,103
0,700;0,298;0,194;1,189
0,733;0,336;0,180;1,256
0,767;0,378;0,169;1,319
0,800;0,422;0,163;1,357
0,833;0,468;0,164;1,333
0,867;0,511;0,170;1,290
0,900;0,552;0,181;1,256
0,933;0,592;0,194;1,186
0,967;0,627;0,206;1,100
1,000;0,661;0,217;1,034
1,033;0,693;0,227;1,000
1,067;0,725;0,236;0,929
1,100;0,754;0,236;0,887
1,133;0,784;0,238;0,888
1,167;0,813;0,238;0,896
1,200;0,844;0,235;0,920
1,233;0,874;0,231;0,972
1,267;0,908;0,225;1,028
1,300;0,941;0,216;1,067
1,333;0,976;0,205;1,135
1,367;1,013;0,192;1,225
1,400;1,053;0,178;1,322
1,433;1,097;0,166;1,368
1,467;1,142;0,159;1,395
1,500;1,190;0,159;1,408
1,533;1,236;0,164;1,387
1,567;1,282;0,170;1,367
1,600;1,326;0,178;1,300
1,633;1,368;0,183;
