t;x;y;v;step;
0,000;−6,899E−3;0,287;;0
0,033;−5,310E−3;0,287;9,573E−2;1
0,067;−7,159E−4;0,286;0,147;2
0,100;4,368E−3;0,285;0,163;3
0,133;1,002E−2;0,284;0,188;4
0,167;1,671E−2;0,283;0,223;5
0,200;2,473E−2;0,282;0,272;6
0,233;3,465E−2;0,280;0,319;7
0,267;4,575E−2;0,278;0,355;8
0,300;5,785E−2;0,276;0,392;9
0,333;7,130E−2;0,273;0,442;10
0,367;8,669E−2;0,269;0,500;11
0,400;0,104;0,265;0,543;12
0,433;0,122;0,260;0,598;13
0,467;0,142;0,254;0,666;14
0,500;0,164;0,247;0,752;15
0,533;0,190;0,238;0,818;16
0,567;0,215;0,228;0,888;17
0,600;0,244;0,216;0,996;18
0,633;0,276;0,201;1,089;19
0,667;0,311;0,186;1,182;20
0,700;0,349;0,171;1,265;21
0,733;0,391;0,159;1,322;22
0,767;0,435;0,153;1,352;23
0,800;0,480;0,152;1,352;24
0,833;0,525;0,157;1,330;25
0,867;0,568;0,167;1,272;26
0,900;0,607;0,180;1,190;27
0,933;0,643;0,192;1,121;28
0,967;0,678;0,204;1,058;29
1,000;0,710;0,213;0,987;30
1,033;0,741;0,221;0,932;31
1,067;0,772;0,224;0,912;32
1,100;0,802;0,226;0,898;33
1,133;0,831;0,227;0,897;34
1,167;0,861;0,224;0,916;35
1,200;0,892;0,220;0,945;36
1,233;0,924;0,215;1,005;37
1,267;0,958;0,208;1,053;38
1,300;0,991;0,196;1,119;39
1,333;1,028;0,183;1,207;40
1,367;1,067;0,170;1,293;41
1,400;1,110;0,156;1,361;42
1,433;1,156;0,150;1,394;43
1,467;1,202;0,146;1,397;44
1,500;1,249;0,149;1,392;45
1,533;1,295;0,155;1,345;46
1,567;1,338;0,161;;47
